Mechanism Name,Code
eviCore healthcare's Clinical Decision Support Mechanism,G1001
MedCurrent OrderWise™,G1002
Medicalis Clinical Decision Support Mechanism,G1003
National Decision Support Company CareSelect™*,G1004
AIM Specialty Health ProviderPortal®*,G1007
Cranberry Peak ezCDS,G1008
Sage Health Management Solutions Inc. RadWise®,G1009
Stanson Health's Stanson CDS,G1010
AgileMD's Clinical Decision Support Mechanism,G1012
EvidenceCare's Imaging Advisor,G1013
InveniQA's Semantic Answers in Medicine™,G1014
Reliant Medical Group CDSM,G1015
Speed of Care CDSM,G1016
HealthHelp's Clinical Decision Support Mechanism,G1017
INFINX CDSM,G1018
LogicNets AUC Solution*,G1019
Curbside Clinical Augmented Workflow,G1020
E*HealthLine Clinical Decision Support Mechanism,G1021
Intermountain Clinical Decision Support Mechanism,G1022
Persivia Clinical Decision Support,G1023
